20160816_0900_0/0,"(125, 125)","(177, 59)",51.7661748226
20160816_0900_0/1,"(125, 125)","(206, 213)",-47.3718421898
20160816_0900_0/2,"(125, 125)","(127, 208)",-88.6196459266
20160816_0900_0/3,"(125, 125)","(220, 110)",8.9726266149
20160816_0900_0/4,"(125, 125)","(237, 102)",11.6047623564
20160816_0900_0/5,"(125, 125)","(196, 18)",56.4336812654
20160816_0900_0/6,"(125, 125)","(16, 94)",164.124053495
20160816_0900_0/7,"(125, 125)","(126, 19)",89.4594898129
20160816_0900_1/0,"(125, 125)","(169, 198)",-58.9209603649
20160816_0900_1/1,"(125, 125)","(65, 192)",-131.845157135
20160816_0900_1/10,"(125, 125)","(161, 196)",-63.1130658075
20160816_0900_1/11,"(125, 125)","(78, 182)",-129.507675443
20160816_0900_1/12,"(125, 125)","(20, 81)",157.263995117
20160816_0900_1/14,"(125, 125)","(108, 218)",-100.359052488
20160816_0900_1/15,"(125, 125)","(135, 29)",84.053136946
20160816_0900_1/17,"(125, 125)","(140, 26)",81.3843518158
20160816_0900_1/2,"(125, 125)","(33, 162)",-158.091295172
20160816_0900_1/3,"(125, 125)","(194, 222)",-54.5742278851
20160816_0900_1/4,"(125, 125)","(50, 215)",-129.805571092
20160816_0900_1/5,"(125, 125)","(85, 213)",-114.44395478
20160816_0900_1/6,"(125, 125)","(109, 224)",-99.1805419576
20160816_0900_1/7,"(125, 125)","(102, 229)",-102.470461722
20160816_0900_1/8,"(125, 125)","(124, 235)",-90.5208563745
20160816_0900_1/9,"(125, 125)","(118, 229)",-93.8506388239
20160816_0901_1/0,"(125, 125)","(92, 229)",-107.604633337
20160816_0901_1/1,"(125, 125)","(79, 221)",-115.602187551
20160816_0901_1/10,"(125, 125)","(170, 207)",-61.2428791027
20160816_0901_1/2,"(125, 125)","(219, 150)",-14.8934729588
20160816_0901_1/5,"(125, 125)","(121, 231)",-92.1610794882
20160816_0901_1/6,"(125, 125)","(104, 218)",-102.724355685
20160816_0901_1/7,"(125, 125)","(80, 215)",-116.565051177
20160816_0901_1/8,"(125, 125)","(72, 220)",-119.156917882
20160816_0901_1/9,"(125, 125)","(126, 128)",-71.5650511771
20160816_0902_0/1,"(125, 125)","(39, 188)",-143.775055744
20160816_0902_1/0,"(125, 125)","(121, 221)",-92.3859440304
20160816_0902_1/1,"(125, 125)","(96, 214)",-108.047821069
20160816_0902_1/2,"(125, 125)","(90, 213)",-111.689064965
20160816_0902_1/4,"(125, 125)","(196, 202)",-47.3215305898
